"PID","ID","CID","Title","Definition","Includes","Excludes","Examples"
"1","12","127","Making and processing goods for the market in household enterprises","Refers to activities to manufacture or process products/goods mainly intended for the market in household enterprises.– This group refers to the activity undertaken by the respondent over a particular period of time, which might differ from the primary activity of the establishment where he or she works.– (Activities performed in relation to economic activities described under ISIC rev. 4 Section C Manufacturing excluding Division 33)","– Making, processing food products, beverages, tobacco (for pay or profit)– Making, processing textiles, wearing apparel, leather and related products and crafts (for pay or profit)– Making, processing of wood and bark products and crafts (for pay or profit)– Making, processing bricks, concrete slabs, hollow blocks, tiles, etc. (for pay or profit)– Making, processing herbal and medicinal preparations (for pay or profit)– Making, processing metals and metal products, … tools, repairing and installing machinery, motor vehicles, etc. (for pay or profit)– Making, processing crafts using other materials (for pay or profit)","– 22 Making and processing goods for own final use– 128 Construction activities for the market in household enterprises– 23 Construction activities for own final use","– Processed milk for sale– Made soaps for sale– Made candles for sale– Produced artworks for sale– Made traditional herbal medicines in household enterprise for sale– Made small furniture items at home for sale– Tailoring clothes at home for sale"
"1","12","128","Construction activities for the market in household enterprises","Refers to construction and specialized construction activities for buildings and civil engineering works mainly intended for the market in household enterprises, such as new work, repair of buildings, additions and alterations, the erection of prefabricated buildings or structures on the site and also construction of a temporary nature, and engineering works. – General construction is the construction of entire dwellings, office buildings, stores and other public and utility buildings, farm buildings etc., or the construction of civil engineering works such as motorways, streets, bridges, tunnels, railways, airfields, harbours and other water projects, irrigation systems, sewerage systems, industrial facilities, pipelines and electric lines, sports facilities etc. – This group refers to the activity undertaken by the respondent over a particular period of time, which might differ from the primary activity of the establishment where he or she works.– (Activities performed in relation to economic activities described under ISIC rev. 4 Section F Construction)","– Construction and repair of buildings, roads, dams and other structures including preparing building site (for pay or profit)– Demolition or wrecking of buildings and other structures (for pay or profit)– Building of complete constructions, installation and completion (for pay or profit)","– 23 Construction activities for own final use","– Worked at construction site (for pay or profit)– Demolished old building (for pay or profit)– Worked in the construction of the bridge (for pay or profit)"
"1","12","129","Other activities related to employment in household enterprises to produce goods","Refers to other activities related to employment in household enterprises to produce goods mainly intended for the market such as purchasing supplies or disposing outputs.– This group refers to the activity undertaken by the respondent over a particular period of time, which might differ from the primary activity of the establishment where he or she works.","– Purchasing/acquiring inputs/supplies (for pay or profit)– Selling/disposing of outputs (for pay or profit)","– 139 Other activities related to employment in households and household enterprises providing services– 18 Travelling and commuting for employment– 37 Shopping for own household and family members","– Bought fertilizer for fields (for pay or profit)"
"1","13","","Employment in households and household enterprises to provide services","Refers to the time spent on direct activities to provide services for pay or profit in household unincorporated market enterprises and households.– Household is defined as a group of persons who share the same living accommodation, who pool some, or all, of their income and wealth and who consume certain types of goods and services collectively, mainly housing and food. In general, each member of a household should have some claim upon the collective resources of the household. At least some decisions affecting consumption or other economic activities must be taken for the household as a whole. (Source: SNA 2008 para. 4.149)– Household unincorporated market enterprises are created for the purpose of producing goods or services for sale or barter on the market. They can be engaged in virtually any kind of productive activity: agriculture, mining, manufacturing, construction (12 Employment in household enterprises to produce goods), retail distribution or the production of other kinds of services (13 Employment in households and household enterprises providing services). They can range from single persons working as street traders or shoe cleaners with virtually no capital or premises of their own through to large manufacturing, construction or service enterprises with many employees. (Source: SNA 2008 para. 4.155)– Household unincorporated market enterprises also include unincorporated partnerships that are engaged in producing goods or services for sale or barter on the market. The partners may belong to different households. (Source: SNA 2008 para. 4.156)Considered in this Division are persons who work for pay or profit payable to the household or family:(i) in market units operated by a family member living in the same or in another household; or(ii) performing tasks or duties of an employee job held by a family member living in the same or in another household(Source: 19th ICLS para. 30f)– This division only covers the provision of services for pay or profit.– This division refers to the activity undertaken by the respondent over a particular period of time, which might differ from the primary activity of the establishment where he or she works.","– Activities undertaken in households and household enterprises to provide services for pay or profit, such as:– 131 Vending and trading of goods in household enterprises– 132 Providing paid repair, installation, maintenance and disposal in households and household enterprises– 133 Providing paid business and professional services in households and household enterprises– 134 Transporting goods and passengers for pay or profit in households and household enterprises– 135 Providing paid personal care services in households and household enterprises– 136 Providing paid domestic services– 139 Other activities related to employment in households and household enterprises providing services","– 11 Employment in corporations, government and non-profit institutions– 12 Employment in household enterprises to produce goods– 14 Ancillary activities and breaks related to employment– 15 Training and studies in relation to employment– 16 Seeking employment– 17 Setting up a business– 18 Travelling and commuting for employment",""
"1","13","131","Vending and trading of goods in household enterprises","Refers to the vending and trading of goods household enterprises, such as:– Food vending and trading– Petty trading, door-to-door vending, street vending, hawking– (Activities performed in relation to economic activities described under ISIC rev. 4 Section G Wholesale and retail trade, excluding the repair of motor vehicles and motorcycles under 452 and 454)– This group refers to the activity undertaken by the respondent over a particular period of time, which might differ from the primary activity of the establishment where he or she works.","– Selling food and beverage including packing food and drinks; selling of prepared foods and drinks for immediate consumption (for pay or profit)– Packing food and beverage preparations (for pay or profit)– Selling/delivering food and beverage preparations (for pay or profit)– Putting up food stalls; cleaning and maintenance (for pay or profit)– Other specified activities related to preparing and selling food and beverage (for pay or profit)– Petty trading, door-to-door vending, street vending, hawking including resale of new and used goods in fixed locations, open spaces, closed spaces and buying goods for resale  (for pay or profit)– Note: Sale of own-produced goods under division 12 is classified under group 129.– Note: For door-to-door and street vending and hawking, travelling to the area where vending takes place is classified under 182 Commuting. However, travelling while in the general area where vending and hawking take place is considered intrinsic to the activity. – Petty trading including buying and selling at a regular venue or fixed location (for pay or profit)– Door-to-door vending including selling by going from house to house, building to building, room to room (for pay or profit)– Street vending, hawking and other itinerant trading (for pay or profit)– Other specified activities related to petty trading and vending activities (for pay or profit)","– 182 Commuting","– Worked in a food stall (for pay or profit)– Bought old newspapers, used tins, used plastics and other discarded items to sell for recycling (for pay or profit)– Sold vegetables, fruits door to door (for pay or profit)"
"1","13","132","Providing paid repair, installation, maintenance and disposal in households and household enterprises","Refers to the repair, installation, maintenance and disposal services for pay or profit in households and household enterprises– (Activities performed in relation to economic activities described under ISIC rev. 4 Divisions 33, 38, 39, 95, and Groups 452 and 454)– This group refers to the activity undertaken by the respondent over a particular period of time, which might differ from the primary activity of the establishment where he or she works.","– Fitting, installing, tool setting, maintaining and repairing tools and machinery (for pay or profit)– Repair of vehicles (for pay or profit)– Repair of apparel goods including repair of clothes, shoes, bags (for pay or profit)– Repair of household goods including repair of appliances, furniture, linen (for pay or profit)– Activities undertaken by waste pickers and persons dealing with recycling  (for pay or profit)","– 133 Providing paid business and professional services in households and household enterprises– 134 Transporting goods and passengers for pay or profit in households and household enterprises– 135 Providing paid personal care services in households and household enterprises– 136 Providing paid domestic services","– Worked in auto garage (for pay or profit)– Worked at shoe repair store (for pay or profit)– Picked bottles from trash (for pay or profit)"
"1","13","133","Providing paid business and professional services in households and household enterprises","Refers to the provision of business and professional services for pay or profit in households and household enterprises.– (Activities performed in relation to economic activities described under ISIC rev. 4 Sections J, K, L, M, P and Q (excluding 869)– This group refers to the activity undertaken by the respondent over a particular period of time, which might differ from the primary activity of the establishment where he or she works.","– Lending and collecting money; foreign exchange (for pay or profit)– Typing, word-processing, programming, encoding (for pay or profit)– Accounting, bookkeeping, legal and related services (for pay or profit)– Tutoring (for pay or profit)– Provision of medical and dental services (for pay or profit)","– 132 Providing paid repair, installation, maintenance and disposal in households and household enterprises– 134 Transporting goods and passengers for pay or profit in households and household enterprises– 135 Providing paid personal care services in households and household enterprises– 136 Providing paid domestic services","– Received client to check his taxes (for pay or profit)– Busked for money (as a job) (for pay or profit)– Provided veterinary services (for pay or profit)"
"1","13","134","Transporting goods and passengers for pay or profit in households and household enterprises","Refers to the provision of passenger or freight transport, whether scheduled or not, by rail, pipeline, road, water or air and associated activities such as operating of terminal and parking facilities, cargo handling, storage etc. This group considers the renting of transport equipment with driver or operator, as well as courier activities.– This group refers to the activity undertaken by the respondent over a particular period of time, which might differ from the primary activity of the establishment where he or she works.– (Activities performed in relation to economic activities described under ISIC rev. 4 Section H Transportation and storage (excluding 531 Postal activities))– This group refers to the activity undertaken by the respondent over a particular period of time, which might differ from the primary activity of the establishment where he or she works.","– Driving motorized vehicles, hand and pedal vehicles, animal-drawn carts etc.; sailing/rowing boats, barges etc.; piloting aircraft (for pay or profit)– Carrying, loading and transporting  goods (for pay or profit)– Waiting for passengers, cargo (for pay or profit)– Transporting passengers (for pay or profit)","– 181 Employment-related travel– 182 Commuting– Maintaining and repairing vehicles, boats etc. used for the transportation of goods and passengers (132)","– Drove minivan to bring passengers to another town (for pay or profit)– Drove a taxi or hire car (for pay or profit)"
"1","13","135","Providing paid personal care services in households and household enterprises","Refers to the provision of personal care services for pay or profit in households and household enterprises.– (Activities performed in relation to economic activities described under ISIC rev. 4 Section Q Class 869 and Divisions 87 and 88)– This group refers to the activity undertaken by the respondent over a particular period of time, which might differ from the primary activity of the establishment where he or she works.","– Provision of personal care services including haircuts, hairdressing, cosmetic treatments, giving manicures/pedicures, massaging, prostitution (for pay or profit)– Provision of non-professional health-care (for pay or profit)– Provision of assistance with personal hygiene and dressing (for pay or profit)– Provision of nursing services (for pay or profit)","– 4 Unpaid caregiving services for household and family members– 931 Personal hygiene and care– 932 Health/medical care to oneself– 941 Receiving personal care from others– 942 Receiving health/medical care from others","– Gave a massage to client (for pay or profit)– Waxed client's legs  (for pay or profit)– Prepared room at home for hairdressing and swept it afterwards (for pay or profit)– Cut hair of customer (as hairdresser/barber) (for pay or profit)– Provided service during child birth at client's home (as midwife) (for pay or profit)"
"1","13","136","Providing paid domestic services","Refers to the provision of domestic services for pay or profit.– (Information on employment of domestic personnel by households can be identified using ISIC Division 97)– This group refers to the activity undertaken by the respondent over a particular period of time, which might differ from the primary activity of the establishment where he or she works.","– Providing paid domestic services includes all work by domestic staff for remuneration in cash or in kind undertaking all types of activities  as defined in major divisions 3 and 4.","– 3 Unpaid domestic services for household and family members","– Cleaned employer's home– Gardening the employer's house"
"1","13","139","Other activities related to employment in households and household enterprises providing services","Refers to other activities in employment in household enterprises to provide services not elsewhere classified and other activities related to employment in household enterprises such as purchasing supplies or disposing of outputs.","– Provision of accommodation and food services (including renting out rooms, sleeping space and associated work and catering) (ISIC rev. 4 Section I) (for pay or profit)– Purchasing/acquiring inputs/supplies (for pay or profit)– Disposing of outputs (for pay or profit)","– 129 Other activities related to employment in household enterprises to produce goods– 18 Travelling and commuting for employment– 37 Shopping for own household and family members","– Shopped for candles and lotion for massage clients"
"1","14","","Ancillary activities and breaks related to employment","Refers to activities not directly intended for the production of goods or services but which are necessary to make such production possible and short pauses/ interruptions in the production that are the necessary consequence of the organisation of the work activities or the use of labour, such as short rest periods.","– 141 Activities ancillary to employment– 142 Breaks during working time within employment","– 11 Employment in corporations, government and non-profit institutions– 12 Employment in household enterprises to produce goods– 13 Employment in households and household enterprises to provide services– 15 Training and studies in relation to employment– 16 Seeking employment– 17 Setting up a business– 18 Travelling and commuting for employment",""
"1","14","141","Activities ancillary to employment","Refers to those incidental activities undertaken to facilitate the main activities under employment but do not normally result in goods and services that can be marketed. – Equates to 'related hours' as defined in  paragraph 11.(2)(b) of the Resolution concerning the measurement of working time adopted by the 18th International Conference of Labour Statisticians","– All activities in all jobs during employment that are not direct activities to produce goods or provide services for pay or profit – Idle time while waiting to begin work and shortly after,  or while waiting for business or clients– Maintenance of tools– Changing into and out of work clothing","– 142 Breaks during working time within employment– 18 Travelling and commuting for employment (including waiting time during employment related)","– Changed clothing– Waited for the machine to warm up– Waiting for material to dry (in wall painting)– Interviewed for assistant for (home) business– Went to post office to post sold items from ebay business – Waited for the person in the next shift"
"1","14","142","Breaks during working time within employment","Refers to the time during working time in employment not producing goods or services, such as short breaks and down time due to equipment or process breakdown. – Equates to 'down time' and 'resting time'  as defined in  paragraph 11.(2) (c and d)) of the Resolution concerning the measurement of working time adopted by the 18th International Conference of Labour Statisticians– Application: How to classify activities that are performed during the break such as talking, smoking, religious activities etc. When simultaneous activities are recorded, each activity is to be recorded. If activities are prioritised as main, secondary etc., the specific activity being performed during the break is to be treated as the primary activity and code 142 as referring to secondary activity. If simultaneous activities are not recorded, prioritization rule needs to be defined.","– Smoking breaks– Coffee breaks","– 141 Activities ancillary to employment","– Had a coffee break– Down time due to power cut"
"1","15","","Training and studies in relation to employment","See Group 150","","",""
"1","15","150","Training and studies in relation to employment","Refers to the training and studies in relation to employment.– For employees, attendance must be sanctioned by employer; that is to say, attendance is considered part of working time or official time.– Employer may or may not cover actual cost of training or studies.– Attendance may be during usual working hours or outside the usual working hours.– For self–employed, training and studies must be directly related to one's job.","– Attendance in short–term courses such as language courses, applications software courses etc., seminars on time management, employment benefits, technical/business conferences– Attendance in part–time undergraduate/graduate courses– Training as preparation before the start of a new job when there is a remuneration","– Gaining skills or workplace experience by unpaid trainees, apprentices, interns and related activity (53)– 6 Learning","– Attended in–house training– Attending training courses, seminars, conferences on official time and studies on official time– Attending classes part–time on official time"
"1","16","","Seeking employment","See Group 160","","",""
